"idade";"escolaridade";"anos_estudo";"estado_civil";"raca";"sexo";"salario";"classe_trabalho";"qtde_filhos";"UF";"região"
23;"Ensino Médio Completo";10;"Solteiro";"Branco";"Feminino";3327;"Funcionário Setor Privado";4;"PR";"Sul"
34;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";1;"SC";"Sul"
41;"Ensino Médio Incompleto";9;"Casado";"Branco";"Feminino";1100;"Autônomo";2;"RS";"Sul"
31;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";1;"MS";"Centro-Oeste"
42;"Ensino Médio Completo";10;"Solteiro";"Branco";"Feminino";2559;"Funcionário Setor Privado";1;"MT";"Centro-Oeste"
35;"Mestrado";14;"Solteiro";"Branco";"Masculino";8645;"Funcionário Setor Privado";2;"GO";"Centro-Oeste"
55;"Ensino Médio Incompleto";9;"Separado";"Branco";"Feminino";1100;"Funcionário Setor Privado";4;"DF";"Centro-Oeste"
36;"Ensino Médio Incompleto";9;"Viúvo";"Branco";"Feminino";1532;"Servidor Público";5;"RO";"Norte"
65;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Autônomo";3;"AC";"Norte"
38;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";11425;"Empresário";1;"AM";"Norte"
62;"Ensino Médio Completo";10;"Viúvo";"Branco";"Feminino";3211;"Funcionário Setor Privado";5;"RR";"Norte"
54;"Mestrado";15;"Casado";"Branco";"Masculino";1542;"MEI";0;"PA";"Norte"
49;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"AP";"Norte"
34;"Ensino Médio Incompleto";9;"Casado";"Branco";"Feminino";1100;"Funcionário Setor Privado";0;"TO";"Norte"
32;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";2;"MA";"Nordeste"
51;"Mestrado";14;"Casado";"Branco";"Masculino";2289;"MEI";3;"PI";"Nordeste"
48;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";3128;"Autônomo";1;"CE";"Nordeste"
30;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"RN";"Nordeste"
52;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Feminino";1401;"Funcionário Público";0;"PB";"Nordeste"
28;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";3707;"Autônomo";1;"PE";"Nordeste"
29;"Ensino Médio Incompleto";9;"Casado";"Pardo";"Masculino";1100;"Funcionário Setor Privado";0;"AL";"Nordeste"
38;"Ensino Médio Completo";13;"Solteiro";"Branco";"Feminino";2630;"Funcionário Setor Privado";4;"SE";"Nordeste"
57;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";3;"BA";"Nordeste"
43;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";5223;"Funcionário Público";1;"MG";"Sudeste"
37;"Ensino Médio Completo";10;"Separado";"Branco";"Masculino";3483;"Servidor Público";5;"ES";"Sudeste"
30;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"RJ";"Sudeste"
53;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";0;"SP";"Sudeste"
69;"Ensino Médio Completo";11;"Viúvo";"Branco";"Feminino";4903;"Aposentado";4;"PR";"Sul"
73;"Ensino Médio Incompleto";9;"Viúvo";"Branco";"Feminino";6489;"Aposentado";4;"SC";"Sul"
22;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";6634;"MEI";3;"RS";"Sul"
31;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";0;"MS";"Centro-Oeste"
38;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";2363;"Funcionário Setor Privado";4;"MT";"Centro-Oeste"
50;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";2716;"Autônomo";4;"GO";"Centro-Oeste"
37;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";2511;"Funcionário Setor Privado";4;"DF";"Centro-Oeste"
44;"Ensino Médio Completo";13;"Divorciado";"Branco";"Masculino";16892;"Empresário";1;"RO";"Norte"
47;"Ensino Médio Completo";13;"Solteiro";"Negro";"Feminino";3665;"Funcionário Setor Privado";3;"AC";"Norte"
27;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";2186;"Funcionário Setor Privado";5;"AM";"Norte"
28;"Ensino Médio Completo";12;"Solteiro";"Branco";"Feminino";2339;"Funcionário Setor Privado";3;"RR";"Norte"
25;"Ensino Médio Incompleto";9;"Solteiro";"Negro";"Feminino";1100;"Funcionário Setor Privado";1;"PA";"Norte"
20;"Ensino Médio Completo";10;"Solteiro";"Branco";"Feminino";2297;"Funcionário Setor Privado";1;"AP";"Norte"
51;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";6210;"Empresário";2;"TO";"Norte"
46;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";3279;"Funcionário Setor Privado";3;"MA";"Nordeste"
67;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";4510;"Aposentado";3;"PI";"Nordeste"
47;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"CE";"Nordeste"
42;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";3;"RN";"Nordeste"
52;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"PB";"Nordeste"
42;"Ensino Médio Completo";12;"Divorciado";"Pardo";"Feminino";4244;"Funcionário Público";4;"PE";"Nordeste"
65;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Não Informado";4;"AL";"Nordeste"
21;"Ensino Médio Completo";10;"Solteiro";"Negro";"Masculino";2346;"Funcionário Setor Privado";2;"SE";"Nordeste"
50;"Ensino Médio Incompleto";9;"Casado";"Branco";"Feminino";1100;"Funcionário Setor Privado";5;"BA";"Nordeste"
46;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";3415;"Funcionário Setor Privado";0;"MG";"Sudeste"
47;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";2766;"Autônomo";5;"ES";"Sudeste"
57;"Ensino Fundamental Completo";6;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"RJ";"Sudeste"
37;"Ensino Médio Completo";13;"Solteiro";"Branco";"Masculino";2084;"Funcionário Setor Privado";1;"SP";"Sudeste"
50;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";4;"PR";"Sul"
58;"Ensino Médio Incompleto";8;"Casado";"Branco";"Masculino";1100;"Não Informado";3;"SC";"Sul"
63;"Ensino Fundamental Incompleto";2;"Viúvo";"Branco";"Feminino";1100;"Autônomo";4;"RS";"Sul"
39;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";3;"MS";"Centro-Oeste"
46;"Mestrado";14;"Casado";"Negro";"Masculino";9754;"Funcionário Setor Privado";2;"MT";"Centro-Oeste"
36;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"GO";"Centro-Oeste"
26;"Ensino Fundamental Incompleto";3;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"DF";"Centro-Oeste"
21;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";3062;"Funcionário Setor Privado";3;"RO";"Norte"
41;"Ensino Médio Completo";12;"Casado";"Branco";"Masculino";2341;"Funcionário Setor Privado";5;"AC";"Norte"
44;"Ensino Médio Completo";10;"Solteiro";"Negro";"Masculino";2854;"Empresário";3;"AM";"Norte"
22;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"RR";"Norte"
29;"Ensino Médio Completo";10;"Solteiro";"Negro";"Masculino";4336;"Funcionário Público";0;"PA";"Norte"
29;"Ensino Médio Incompleto";9;"Solteiro";"Negro";"Feminino";1100;"Funcionário Setor Privado";2;"AP";"Norte"
58;"Ensino Médio Completo";10;"Casado";"Branco";"Feminino";1805;"MEI";3;"TO";"Norte"
36;"Mestrado";15;"Casado";"Branco";"Masculino";7376;"Autônomo";0;"MA";"Nordeste"
30;"Ensino Médio Completo";11;"Casado";"Branco";"Masculino";3246;"Funcionário Setor Privado";4;"PI";"Nordeste"
37;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";2869;"Funcionário Setor Privado";3;"CE";"Nordeste"
29;"Ensino Médio Completo";11;"Solteiro";"Branco";"Masculino";3169;"Funcionário Setor Privado";4;"RN";"Nordeste"
26;"Ensino Fundamental Incompleto";3;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";4;"PB";"Nordeste"
43;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"PE";"Nordeste"
49;"Ensino Médio Incompleto";9;"Casado";"Branco";"Feminino";1100;"Funcionário Setor Privado";3;"AL";"Nordeste"
45;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";4471;"Funcionário Público";5;"SE";"Nordeste"
28;"Ensino Médio Completo";13;"Solteiro";"Branco";"Feminino";2837;"Funcionário Setor Privado";1;"BA";"Nordeste"
20;"Ensino Médio Completo";10;"Solteiro";"Branco";"Feminino";2500;"Não Informado";1;"MG";"Sudeste"
51;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Feminino";1100;"Funcionário Setor Privado";4;"ES";"Sudeste"
32;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";3730;"Funcionário Setor Privado";4;"RJ";"Sudeste"
24;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";4;"SP";"Sudeste"
35;"Doutorado";16;"Casado";"Branco";"Masculino";12816;"Funcionário Setor Privado";2;"PR";"Sul"
35;"Ensino Médio Completo";12;"Solteiro";"Branco";"Masculino";2285;"Não Informado";0;"SC";"Sul"
41;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";4318;"Servidor Público";0;"RS";"Sul"
48;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";2357;"Funcionário Setor Privado";5;"MS";"Centro-Oeste"
61;"Ensino Médio Incompleto";9;"Viúvo";"Branco";"Feminino";3322;"Empresário";4;"MT";"Centro-Oeste"
20;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";2411;"Funcionário Setor Privado";2;"GO";"Centro-Oeste"
27;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";0;"DF";"Centro-Oeste"
55;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";2282;"Funcionário Setor Privado";2;"RO";"Norte"
39;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"AC";"Norte"
17;"Ensino Fundamental Completo";6;"Solteiro";"Branco";"Masculino";1100;"Menor Aprendiz";0;"AM";"Norte"
47;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"RR";"Norte"
52;"Ensino Médio Incompleto";9;"Viúvo";"Pardo";"Feminino";1100;"Funcionário Setor Privado";3;"PA";"Norte"
24;"Ensino Médio Incompleto";9;"Solteiro";"Negro";"Feminino";1100;"Funcionário Setor Privado";2;"AP";"Norte"
29;"Ensino Médio Incompleto";7;"Solteiro";"Negro";"Feminino";1100;"Funcionário Setor Privado";2;"TO";"Norte"
25;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"MA";"Nordeste"
20;"Ensino Médio Completo";10;"Solteiro";"Branco";"Feminino";2506;"Funcionário Setor Privado";0;"PI";"Nordeste"
23;"Ensino Médio Incompleto";9;"Solteiro";"Negro";"Masculino";1100;"Funcionário Setor Privado";5;"CE";"Nordeste"
57;"Mestrado";15;"Casado";"Branco";"Masculino";6969;"Funcionário Setor Privado";0;"RN";"Nordeste"
51;"Ensino Médio Completo";11;"Casado";"Branco";"Masculino";2744;"Funcionário Setor Privado";2;"PB";"Nordeste"
33;"Ensino Médio Completo";10;"Solteiro";"Branco";"Feminino";2901;"Funcionário Setor Privado";5;"PE";"Nordeste"
39;"Ensino Médio Completo";13;"Solteiro";"Branco";"Masculino";2556;"Funcionário Setor Privado";3;"AL";"Nordeste"
40;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";3;"SE";"Nordeste"
71;"Ensino Médio Completo";13;"Divorciado";"Branco";"Feminino";4796;"Aposentado";2;"BA";"Nordeste"
38;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";4825;"Servidor Público";3;"MG";"Sudeste"
28;"Mestrado";15;"Solteiro";"Branco";"Masculino";6940;"Servidor Público";2;"ES";"Sudeste"
57;"Mestrado";14;"União Estável";"Branco";"Feminino";7437;"Funcionário Setor Privado";2;"RJ";"Sudeste"
47;"Ensino Médio Completo";10;"Divorciado";"Branco";"Masculino";3016;"Funcionário Setor Privado";2;"SP";"Sudeste"
59;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1532;"Servidor Público";1;"PR";"Sul"
26;"Ensino Médio Incompleto";9;"Solteiro";"Amarelo";"Masculino";1100;"Funcionário Setor Privado";0;"SC";"Sul"
35;"Ensino Médio Completo";13;"Solteiro";"Branco";"Feminino";3423;"Funcionário Setor Privado";2;"RS";"Sul"
61;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";1463;"MEI";0;"MS";"Centro-Oeste"
17;"Ensino Médio Incompleto";7;"Solteiro";"Branco";"Feminino";1100;"Menor Aprendiz";0;"MT";"Centro-Oeste"
36;"Ensino Médio Completo";13;"Casado";"Pardo";"Masculino";3445;"Funcionário Setor Privado";0;"GO";"Centro-Oeste"
62;"Ensino Fundamental Incompleto";4;"Casado";"Branco";"Masculino";1100;"Não Informado";4;"DF";"Centro-Oeste"
34;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";3353;"Funcionário Setor Privado";0;"RO";"Norte"
32;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";4874;"MEI";2;"AC";"Norte"
42;"Ensino Médio Incompleto";9;"Separado";"Branco";"Feminino";1100;"Funcionário Setor Privado";4;"AM";"Norte"
39;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";3841;"Funcionário Setor Privado";3;"RR";"Norte"
58;"Ensino Fundamental Incompleto";3;"Divorciado";"Negro";"Masculino";1100;"Funcionário Setor Privado";2;"PA";"Norte"
61;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Autônomo";2;"AP";"Norte"
40;"Ensino Fundamental Completo";6;"Solteiro";"Negro";"Masculino";1100;"Funcionário Setor Privado";4;"TO";"Norte"
31;"Ensino Médio Completo";13;"Solteiro";"Branco";"Masculino";2946;"Funcionário Setor Privado";5;"MA";"Nordeste"
36;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"PI";"Nordeste"
23;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";2003;"Funcionário Setor Privado";1;"CE";"Nordeste"
33;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"RN";"Nordeste"
52;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"PB";"Nordeste"
22;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";5;"PE";"Nordeste"
51;"Ensino Médio Completo";10;"Divorciado";"Branco";"Feminino";3868;"Funcionário Setor Privado";5;"AL";"Nordeste"
31;"Ensino Médio Completo";11;"Solteiro";"Branco";"Feminino";4757;"Funcionário Público";2;"SE";"Nordeste"
49;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Feminino";6154;"MEI";0;"BA";"Nordeste"
49;"Ensino Médio Incompleto";9;"Casado";"Negro";"Feminino";1100;"Funcionário Setor Privado";0;"MG";"Sudeste"
53;"Ensino Médio Completo";10;"Viúvo";"Negro";"Feminino";4957;"Funcionário Público";0;"ES";"Sudeste"
52;"Ensino Médio Incompleto";9;"Casado";"Pardo";"Masculino";1100;"Funcionário Setor Privado";0;"RJ";"Sudeste"
20;"Ensino Fundamental Completo";6;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"SP";"Sudeste"
26;"Ensino Médio Completo";12;"Solteiro";"Negro";"Masculino";3789;"Funcionário Setor Privado";1;"PR";"Sul"
61;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Não Informado";3;"SC";"Sul"
43;"Mestrado";14;"Solteiro";"Branco";"Feminino";7800;"Funcionário Setor Privado";5;"RS";"Sul"
46;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";6521;"MEI";4;"MS";"Centro-Oeste"
43;"Ensino Médio Completo";11;"Solteiro";"Branco";"Feminino";14128;"Empresário";1;"MT";"Centro-Oeste"
41;"Ensino Médio Incompleto";9;"Divorciado";"Negro";"Feminino";1100;"Funcionário Setor Privado";2;"GO";"Centro-Oeste"
44;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Autônomo";2;"DF";"Centro-Oeste"
54;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"RO";"Norte"
65;"Mestrado";14;"Casado";"Branco";"Masculino";7384;"Funcionário Setor Privado";5;"AC";"Norte"
32;"Ensino Médio Completo";13;"Divorciado";"Branco";"Feminino";3121;"Funcionário Setor Privado";0;"AM";"Norte"
25;"Ensino Médio Completo";10;"Separado";"Branco";"Masculino";3901;"Funcionário Setor Privado";5;"RR";"Norte"
23;"Ensino Médio Completo";13;"Solteiro";"Branco";"Masculino";3111;"Funcionário Setor Privado";4;"PA";"Norte"
25;"Ensino Médio Completo";13;"Solteiro";"Branco";"Masculino";11589;"Empresário";0;"AP";"Norte"
19;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";2706;"Funcionário Setor Privado";0;"TO";"Norte"
37;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Autônomo";1;"MA";"Nordeste"
45;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";3142;"Funcionário Setor Privado";4;"PI";"Nordeste"
37;"Ensino Médio Incompleto";9;"Solteiro";"Negro";"Masculino";1100;"Funcionário Setor Privado";0;"CE";"Nordeste"
40;"Ensino Médio Completo";10;"Divorciado";"Branco";"Masculino";2860;"Autônomo";3;"RN";"Nordeste"
19;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";3333;"Não Informado";1;"PB";"Nordeste"
17;"Ensino Médio Incompleto";7;"Solteiro";"Branco";"Masculino";1100;"Menor Aprendiz";2;"PE";"Nordeste"
27;"Ensino Médio Completo";13;"Solteiro";"Branco";"Feminino";3330;"Funcionário Setor Privado";2;"AL";"Nordeste"
40;"Ensino Fundamental Incompleto";4;"Casado";"Negro";"Masculino";9024;"Empresário";4;"SE";"Nordeste"
59;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Feminino";1100;"Funcionário Setor Privado";4;"BA";"Nordeste"
19;"Ensino Médio Incompleto";9;"Solteiro";"Negro";"Feminino";1186;"Funcionário Público";2;"MG";"Sudeste"
43;"Ensino Fundamental Completo";6;"Solteiro";"Negro";"Masculino";1100;"Funcionário Setor Privado";4;"ES";"Sudeste"
42;"Ensino Fundamental Completo";6;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";4;"RJ";"Sudeste"
54;"Ensino Médio Incompleto";9;"Casado";"Negro";"Masculino";1100;"Funcionário Setor Privado";4;"SP";"Sudeste"
54;"Mestrado";14;"Casado";"Branco";"Masculino";9465;"Autônomo";4;"PR";"Sul"
51;"Ensino Fundamental Completo";6;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";0;"SC";"Sul"
50;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"RS";"Sul"
40;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";5;"MS";"Centro-Oeste"
55;"Ensino Médio Completo";12;"Casado";"Branco";"Masculino";3641;"Funcionário Setor Privado";3;"MT";"Centro-Oeste"
50;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Feminino";1100;"Funcionário Setor Privado";2;"GO";"Centro-Oeste"
31;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";0;"DF";"Centro-Oeste"
42;"Ensino Médio Incompleto";9;"Divorciado";"Negro";"Feminino";1100;"Não Informado";3;"RO";"Norte"
24;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";4;"AC";"Norte"
30;"Ensino Médio Incompleto";7;"Divorciado";"Branco";"Masculino";1100;"Funcionário Setor Privado";3;"AM";"Norte"
39;"Ensino Médio Completo";12;"Casado";"Branco";"Feminino";5898;"Empresário";0;"RR";"Norte"
37;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Masculino";1100;"Funcionário Setor Privado";3;"PA";"Norte"
33;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";4;"AP";"Norte"
48;"Ensino Médio Incompleto";9;"Viúvo";"Branco";"Feminino";1100;"Funcionário Setor Privado";1;"TO";"Norte"
43;"Ensino Médio Incompleto";9;"Casado";"Pardo";"Masculino";2692;"MEI";0;"MA";"Nordeste"
39;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";3147;"Funcionário Setor Privado";3;"PI";"Nordeste"
53;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";2294;"Funcionário Setor Privado";5;"CE";"Nordeste"
52;"Ensino Fundamental Completo";6;"Casado";"Branco";"Masculino";1100;"Autônomo";2;"RN";"Nordeste"
28;"Ensino Médio Completo";10;"Casado";"Pardo";"Masculino";4310;"Servidor Público";3;"PB";"Nordeste"
32;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"PE";"Nordeste"
31;"Ensino Médio Completo";13;"Casado";"Negro";"Masculino";2125;"Funcionário Setor Privado";2;"AL";"Nordeste"
31;"Ensino Médio Completo";13;"Casado";"Branco";"Feminino";3738;"Funcionário Setor Privado";5;"SE";"Nordeste"
47;"Ensino Médio Completo";10;"Solteiro";"Branco";"Feminino";3520;"Funcionário Setor Privado";2;"BA";"Nordeste"
19;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";3932;"Não Informado";1;"MG";"Sudeste"
40;"Ensino Médio Completo";11;"Casado";"Negro";"Masculino";2173;"Funcionário Setor Privado";2;"ES";"Sudeste"
40;"Ensino Médio Completo";12;"Solteiro";"Branco";"Feminino";3952;"Funcionário Setor Privado";3;"RJ";"Sudeste"
41;"Ensino Médio Incompleto";7;"Divorciado";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"SP";"Sudeste"
53;"Ensino Médio Incompleto";9;"Casado";"Negro";"Masculino";1355;"Funcionário Público";5;"PR";"Sul"
46;"Ensino Médio Incompleto";7;"Divorciado";"Indígena";"Masculino";1100;"Funcionário Setor Privado";3;"SC";"Sul"
45;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";3325;"MEI";4;"RS";"Sul"
39;"Ensino Fundamental Completo";5;"Casado";"Negro";"Feminino";1100;"Funcionário Setor Privado";1;"MS";"Centro-Oeste"
19;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";0;"MT";"Centro-Oeste"
57;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"GO";"Centro-Oeste"
49;"Ensino Médio Completo";11;"Casado";"Branco";"Feminino";3997;"Funcionário Setor Privado";4;"DF";"Centro-Oeste"
59;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Feminino";1100;"Funcionário Setor Privado";4;"RO";"Norte"
32;"Ensino Médio Completo";11;"Divorciado";"Branco";"Masculino";3663;"Funcionário Setor Privado";3;"AC";"Norte"
18;"Ensino Médio Completo";10;"Solteiro";"Branco";"Feminino";3689;"Não Informado";1;"AM";"Norte"
35;"Ensino Médio Completo";10;"Solteiro";"Negro";"Masculino";5816;"Servidor Público";1;"RR";"Norte"
58;"Ensino Fundamental Completo";6;"Casado";"Branco";"Feminino";1656;"MEI";1;"PA";"Norte"
28;"Ensino Médio Completo";13;"Solteiro";"Branco";"Masculino";3183;"Funcionário Setor Privado";0;"AP";"Norte"
36;"Ensino Médio Completo";12;"Casado";"Branco";"Feminino";4081;"Funcionário Público";5;"TO";"Norte"
41;"Mestrado";14;"Divorciado";"Branco";"Feminino";6044;"Autônomo";1;"MA";"Nordeste"
47;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";0;"PI";"Nordeste"
50;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";5096;"MEI";1;"CE";"Nordeste"
61;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Não Informado";3;"RN";"Nordeste"
36;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";0;"PB";"Nordeste"
38;"Ensino Médio Completo";11;"Divorciado";"Branco";"Masculino";2682;"Funcionário Setor Privado";4;"PE";"Nordeste"
56;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Autônomo";3;"AL";"Nordeste"
50;"Ensino Médio Completo";11;"Casado";"Branco";"Masculino";3824;"Funcionário Setor Privado";4;"SE";"Nordeste"
45;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";2652;"Autônomo";5;"BA";"Nordeste"
44;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Autônomo";4;"MG";"Sudeste"
51;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";2467;"Funcionário Setor Privado";5;"ES";"Sudeste"
44;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";5374;"MEI";3;"RJ";"Sudeste"
25;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"SP";"Sudeste"
60;"Ensino Médio Incompleto";7;"Viúvo";"Negro";"Masculino";1100;"Funcionário Setor Privado";0;"PR";"Sul"
17;"Ensino Fundamental Completo";6;"Solteiro";"Branco";"Masculino";1100;"Menor Aprendiz";1;"SC";"Sul"
49;"Mestrado";14;"Casado";"Branco";"Masculino";5786;"MEI";1;"RS";"Sul"
46;"Ensino Médio Incompleto";9;"Casado";"Negro";"Masculino";1100;"Funcionário Setor Privado";4;"MS";"Centro-Oeste"
56;"Ensino Médio Incompleto";9;"Viúvo";"Negro";"Feminino";1100;"Funcionário Setor Privado";2;"MT";"Centro-Oeste"
25;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"GO";"Centro-Oeste"
22;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";2752;"Funcionário Setor Privado";0;"DF";"Centro-Oeste"
76;"Ensino Médio Incompleto";9;"Viúvo";"Negro";"Feminino";4946;"Aposentado";5;"RO";"Norte"
41;"Mestrado";15;"Casado";"Branco";"Masculino";4061;"MEI";5;"AC";"Norte"
48;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";6138;"MEI";4;"AM";"Norte"
